flux-corrected-1  | 2026-08-07T13:29:01.519582734Z Picked up JAVA_TOOL_OPTIONS: -Xms512m -Xmx2g -XX:+UseG1GC
flux-corrected-1  | 2026-08-07T13:29:26.129400575Z 2026-08-07 22:29:26.128  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u101-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9698
flux-corrected-1  | 2026-08-07T13:29:26.131629980Z 2026-08-07 22:29:26.130  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u105-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9698
flux-corrected-1  | 2026-08-07T13:29:26.132260284Z 2026-08-07 22:29:26.131  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u109-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9698
flux-corrected-1  | 2026-08-07T13:29:26.132534882Z 2026-08-07 22:29:26.132  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u137-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9507
flux-corrected-1  | 2026-08-07T13:29:26.132547134Z 2026-08-07 22:29:26.132  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u157-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9488
flux-corrected-1  | 2026-08-07T13:29:26.135871084Z 2026-08-07 22:29:26.132  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u30-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9376
flux-corrected-1  | 2026-08-07T13:29:26.135931001Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u26-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9377
flux-corrected-1  | 2026-08-07T13:29:26.135937079Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u173-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9481
flux-corrected-1  | 2026-08-07T13:29:26.135940149Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u141-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9504
flux-corrected-1  | 2026-08-07T13:29:26.135942023Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u169-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9483
flux-corrected-1  | 2026-08-07T13:29:26.135943925Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u185-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9476
flux-corrected-1  | 2026-08-07T13:29:26.135945613Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u22-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9378
flux-corrected-1  | 2026-08-07T13:29:26.135974770Z 2026-08-07 22:29:26.133  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u45-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9778
flux-corrected-1  | 2026-08-07T13:29:26.138311732Z 2026-08-07 22:29:26.136  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u153-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9493
flux-corrected-1  | 2026-08-07T13:29:26.138370575Z 2026-08-07 22:29:26.137  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u189-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9477
flux-corrected-1  | 2026-08-07T13:29:26.140332622Z 2026-08-07 22:29:26.139  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u92-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=8901
flux-corrected-1  | 2026-08-07T13:29:26.140437270Z 2026-08-07 22:29:26.140  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u149-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9497
flux-corrected-1  | 2026-08-07T13:29:26.140617919Z 2026-08-07 22:29:26.140  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u3-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9395
flux-corrected-1  | 2026-08-07T13:29:26.140901061Z 2026-08-07 22:29:26.140  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u200-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9397
flux-corrected-1  | 2026-08-07T13:29:26.141544284Z 2026-08-07 22:29:26.141  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u177-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9487
flux-corrected-1  | 2026-08-07T13:29:26.141656308Z 2026-08-07 22:29:26.141  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u18-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9387
flux-corrected-1  | 2026-08-07T13:29:26.141753963Z 2026-08-07 22:29:26.141  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u65-f4 method=POST path=/game/face status=200 signal=onComplete latencyMs=9000
flux-corrected-1  | 2026-08-07T13:29:26.141875228Z 2026-08-07 22:29:26.141  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u165-f3 method=POST path=/game/face status=200 signal=onComplete latencyMs=9492
flux-corrected-1  | 2026-08-07T13:29:26.145278073Z 2026-08-07 22:29:26.142  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u82-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.145489840Z 2026-08-07 22:29:26.144  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u85-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.145494396Z 2026-08-07 22:29:26.144  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u72-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=2
flux-corrected-1  | 2026-08-07T13:29:26.147306573Z 2026-08-07 22:29:26.145  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u129-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.147334450Z 2026-08-07 22:29:26.146  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u75-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=2
flux-corrected-1  | 2026-08-07T13:29:26.148586489Z 2026-08-07 22:29:26.148  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u131-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.148927828Z 2026-08-07 22:29:26.148  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u76-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.155326707Z 2026-08-07 22:29:26.152  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u97-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.155385760Z 2026-08-07 22:29:26.153  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u100-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.155390723Z 2026-08-07 22:29:26.154  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u135-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.158116712Z 2026-08-07 22:29:26.157  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u137-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.226532032Z 2026-08-07 22:29:26.225  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u96-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.226584060Z 2026-08-07 22:29:26.225  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u144-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.228219232Z 2026-08-07 22:29:26.227  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u101-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.229755146Z 2026-08-07 22:29:26.229  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u69-f10 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.231249549Z 2026-08-07 22:29:26.230  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u73-f10 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.231868120Z 2026-08-07 22:29:26.231  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u146-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=3
flux-corrected-1  | 2026-08-07T13:29:26.232600267Z 2026-08-07 22:29:26.232  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u77-f10 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.234006997Z 2026-08-07 22:29:26.233  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u148-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.234054967Z 2026-08-07 22:29:26.233  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u81-f10 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.236460452Z 2026-08-07 22:29:26.236  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u98-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.237759795Z 2026-08-07 22:29:26.237  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u99-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.239635341Z 2026-08-07 22:29:26.239  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u150-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.241345087Z 2026-08-07 22:29:26.240  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u152-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.243560313Z 2026-08-07 22:29:26.243  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u13-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.243726471Z 2026-08-07 22:29:26.243  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u102-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.245555161Z 2026-08-07 22:29:26.245  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u103-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.247751963Z 2026-08-07 22:29:26.247  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u18-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=3
flux-corrected-1  | 2026-08-07T13:29:26.248022930Z 2026-08-07 22:29:26.247  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u104-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.249311799Z 2026-08-07 22:29:26.249  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u105-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.250678264Z 2026-08-07 22:29:26.250  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u14-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.323778588Z 2026-08-07 22:29:26.250  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u106-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.325366313Z 2026-08-07 22:29:26.324  INFO 1 --- [or-http-epoll-3] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u117-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.325393801Z 2026-08-07 22:29:26.324  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u117-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=74
flux-corrected-1  | 2026-08-07T13:29:26.325396797Z 2026-08-07 22:29:26.325  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u124-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.342379201Z 2026-08-07 22:29:26.341  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u107-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.342426901Z 2026-08-07 22:29:26.342  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u135-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.343863107Z 2026-08-07 22:29:26.343  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u138-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.425749048Z 2026-08-07 22:29:26.425  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u111-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.427615501Z 2026-08-07 22:29:26.427  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u112-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.427669371Z 2026-08-07 22:29:26.427  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u11-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.429401988Z 2026-08-07 22:29:26.429  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u196-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.429430211Z 2026-08-07 22:29:26.429  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u113-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.430953441Z 2026-08-07 22:29:26.430  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u114-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.430987743Z 2026-08-07 22:29:26.430  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u200-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.432457871Z 2026-08-07 22:29:26.432  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u115-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.433694320Z 2026-08-07 22:29:26.433  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u160-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.439280314Z 2026-08-07 22:29:26.439  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u163-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.447153121Z 2026-08-07 22:29:26.444  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u15-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.447201294Z 2026-08-07 22:29:26.444  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u166-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=1
flux-corrected-1  | 2026-08-07T13:29:26.447227746Z 2026-08-07 22:29:26.445  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u119-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.447230564Z 2026-08-07 22:29:26.445  INFO 1 --- [or-http-epoll-4] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u16-f13 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.447232893Z 2026-08-07 22:29:26.445  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u167-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
flux-corrected-1  | 2026-08-07T13:29:26.447234801Z 2026-08-07 22:29:26.446  INFO 1 --- [or-http-epoll-1] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u120-f12 method=POST path=/game/face status=503 signal=onComplete latencyMs=0
